01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10421269,35.20926845,692.028343,10,34:8f:27:20:89:b8,Ariel_University,6,-43,34:8f:27:20:89:b8,Ariel_University,6,-44,34:8f:27:20:89:b8,Ariel_University,6,-47,34:8f:27:20:89:b8,Ariel_University,6,-48,34:8f:27:20:89:bc,Ariel_University,44,-48,34:8f:27:20:89:b8,Ariel_University,6,-49,34:8f:27:20:89:b8,Ariel_University,6,-51,34:8f:27:20:89:bc,Ariel_University,44,-53,34:8f:27:20:89:bc,Ariel_University,44,-53,34:8f:27:a0:89:b7, ,44,-53
01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10441976,35.20977273,691.3305328,10,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-56,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-56,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-58,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-58,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-59,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-60,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-63,24:79:2a:2b:07:b8,Ariel_University,11,-63,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-64,24:79:2a:2c:5c:18,Ariel_University,11,-64
01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.1044315,35.2097687,691.7314483,10,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-54,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-54,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-58,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-58,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-58,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-59,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-60,24:79:2a:2b:07:b8,Ariel_University,11,-61,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-61,24:79:2a:2b:07:b8,Ariel_University,11,-61
01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10455252,35.2096924,689,10,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-62,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-62,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-63,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-64,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-64,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-65,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-65,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-65,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-66,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-66
01/01/1970 02:00,model=SM-G950F_device=dreamlte,32.10380417,35.21015833,703.0066337,10,24:79:2a:2b:07:b8,Ariel_University,11,-57,24:79:2a:2b:07:bc,Ariel_University,36,-57,24:79:2a:2b:07:b8,Ariel_University,11,-58,24:79:2a:2b:07:bc,Ariel_University,36,-58,24:79:2a:2b:07:b8,Ariel_University,11,-59,24:79:2a:2b:07:bc,Ariel_University,36,-59,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-60,24:79:2a:2b:07:b8,Ariel_University,11,-60,24:79:2a:2b:07:b8,Ariel_University,11,-60,24:79:2a:2b:07:b8,Ariel_University,11,-61
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10432201,35.2097169,694.7809971,2,24:79:2a:2c:5b:d8,Ariel_University,1,-71,24:79:2a:ab:07:b7, ,36,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10337725,35.20975353,699.6869967,1,1c:b9:c4:15:ed:b8,IT-MNG,1,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10369336,35.21009943,706.704973,3,3c:52:82:ef:a4:8b,DIRECT-8A-HP DeskJet 3630 series,6,-60,24:79:2a:2b:07:bc,Ariel_University,36,-63,24:79:2a:ab:07:b7, ,36,-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10407043,35.20999605,699.8768351,2,24:79:2a:2b:07:b8,Ariel_University,11,-64,30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,6,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.1037249,35.21020742,710.7830608,2,24:79:2a:ab:07:b7, ,36,-61,0a:27:22:f3:bb:2b,Ariel Lishka,6,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2017 11:33,model=SM-G950F_device=dreamlte,32.10379584,35.21016461,704.2995651,1,24:79:2a:2b:07:b8,Ariel_University,11,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
