WigleWifi-1.4,appRelease=2.26,model=SM-G920F,release=7.0,device=zeroflte,display=NRD90M.G920FXXU5EQD3,board=universal7420,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
f0:b0:52:3e:c7:b8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,1,-57,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:cc:18,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-72,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,6,-74,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,48,-84,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d3:7c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,36,-85,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:da:1c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,58,-86,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
1c:b9:c4:15:44:58,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-83,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d8:ec,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,36,-92,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
42502_811_3868449,Cellcom,UNKNOWN;il,2017-11-08 19:22:22,0,-89,32.105076629250796,35.2069878014934,685.7117909264881,12,GSM
ec:8c:a2:26:d2:c8,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,11,-56,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:ca:d8,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,1,-63,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
